symbol,total_entries,median_hold_minutes,success_rate,optimal_tp_coin,max_rally_coin,entries_today,score,
FETUSDT,764,30,1,4.610484293,106.46,0,8.262348138,0.2733
FILUSDT,654,45,1,8.138501529,147.38,0,7.880503909,1.602
STRKUSDT,1030,45,1,5.772097087,59.6,0,7.165674667,0.137
OSMOUSDT,285,30,1,1.928105263,22.26,0,7.077544472,0.08301
ICPUSDT,861,55,1,6.281788618,77.7,0,6.717011262,4.03
CELOUSDT,447,35,1,2.161879195,21.69,0,6.599522693,0.1692
JTOUSDT,436,42.5,1,2.368302752,18.78,0,5.947165124,0.5016
IMXUSDT,458,45,1,2.643668122,28.21,0,5.868415961,0.3149
NEARUSDT,437,50,1,3.546086957,45.02,0,5.852861633,1.85
WLDUSDT,378,45,1,2.495582011,23.69,0,5.76870732,0.6292
